,0
0,3094510.3894923055
1,3105309.793198972
2,3141557.9417956383
3,3151931.478185639
4,3148971.793918972
5,3130147.9774023057
6,3144819.2355612377
7,3143796.2558071753
8,3152327.0983895385
9,3158859.081806923
10,3152514.220630639
11,3177171.5027572676
12,3174824.3492998504
13,3167722.0487741274
14,3145376.419769372
15,3161084.563925307
16,3195166.6879186407
17,3223227.6699519735
18,3193118.983681974
19,3192061.742215307
20,3160940.436645308
21,3179652.2936519734
22,3174313.750905307
23,3167136.691411973
24,3169753.084555306
25,3183123.618081974
26,3191355.269731974
27,3134494.2455553073
28,3116674.7875986407
29,3096985.85981864
30,3106311.7722019735
31,3107187.9065086404
32,3090608.83930864
33,3120128.77922864
34,3084474.6998853073
35,3108275.2921653064
36,3130753.889865307
37,3166314.2952253064
38,3183360.4520119736
39,3175257.1510919738
40,3197865.1514286404
41,3172696.69138864
42,3146000.2895853072
43,3120066.5679053073
44,3125817.681945307
45,3133954.152635307
46,3129830.240835307
47,3103662.069641974
48,3144414.4711486404
49,3126606.60368864
50,3144766.7836886407
51,3141725.65368864
52,3118740.7036886397
53,3084219.9136886396
54,3083640.78368864
55,3097358.6936886404
56,3055559.7936886405
57,3057779.7436886407
58,3077289.7136886413
59,3056381.8536886405
60,3049871.373688641
61,3029760.81368864
62,3031946.09368864
