,0
0,1952634.7190642431
1,1953830.5007334743
2,1954887.609732436
3,1958205.1177396185
4,1961981.1380854715
5,1957050.1777292849
6,1962253.5073948526
7,1965377.2787302975
8,1963997.249381405
9,1967164.3740840545
10,1971356.1304030868
11,1956537.1193880371
12,1957413.7753763187
13,1960083.0127047745
14,1969728.7307051248
15,1985511.0307303788
16,1989764.3807601868
17,1989143.6807651548
18,1983442.1307519067
19,1983350.1807817149
20,1973518.1307481807
21,1971544.6249453672
22,1971544.6249453672
23,1971544.6249453672
24,1971544.6249453672
25,1971544.6249453672
26,1971544.6249453672
27,1971544.6249453672
28,1971544.6249453672
29,1971544.6249453672
30,1971544.6249453672
31,1971544.6249453672
32,1971544.6249453672
33,1971544.6249453672
34,1971544.6249453672
35,1971544.6249453672
36,1971196.537609877
37,1973184.6456162725
38,1976893.0166304647
39,1978098.1002960787
40,1980526.1773063666
41,1974294.4042838323
42,1973365.8422825686
43,1973365.8422825686
44,1973170.8696166826
45,1974132.6036166528
46,1972973.112615722
47,1972156.6229495658
48,1975678.2986163225
49,1974899.6669486042
50,1974899.6669486042
51,1974899.6669486042
52,1974899.6669486042
53,1975051.8286126945
54,1974896.3496124903
55,1976253.3809495175
56,1977675.8992806005
57,1972865.6276003148
58,1970780.90659711
59,1966554.6675810064
60,1965725.2425527256
61,1964793.3665515496
62,1964793.3665515496
