,0
0,2662928.339293493
1,2648647.9609878026
2,2665084.3706042417
3,2699237.5991153736
4,2699452.562973635
5,2658555.231080019
6,2646903.2310052915
7,2628358.064261527
8,2661532.7503466546
9,2716187.497472585
10,2714335.960994771
11,2741911.644038671
12,2733162.388205617
13,2708884.783577169
14,2736916.7943169153
15,2741925.4576491294
16,2726881.1358846794
17,2620669.365613149
18,2573933.8579307306
19,2589531.7998750815
20,2594234.9889487205
21,2576897.915514806
22,2570569.6911646016
23,2568964.641351217
24,2635480.8552867654
25,2670053.1734184776
26,2617514.139845785
27,2632324.169534506
28,2597581.9788743444
29,2612689.1728169867
30,2615301.9559069676
31,2630303.9600858158
32,2557454.2904986423
33,2536801.96400145
34,2511204.591710114
35,2468480.3431577915
36,2488711.785467133
37,2520590.8353265235
38,2432020.478557114
39,2431722.6776178596
40,2389389.1648686836
41,2358948.4866515966
42,2429307.4945764937
43,2412395.5941467546
44,2474546.4341467544
45,2532868.534146754
46,2554805.364146754
47,2567164.784146754
48,2586639.364146754
49,2553885.0541467546
50,2538942.1841467544
51,2557785.7341467543
52,2571724.9341467544
53,2549786.574146754
54,2513933.2741467543
55,2583201.784146754
56,2611959.5041467543
57,2611566.8541467544
58,2628825.864146754
59,2634274.7241467545
60,2635909.9841467543
61,2634064.1041467544
62,2621752.1841467544
